Seed: 1424189358
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  4.46e+05  |2798980145|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.06438261|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.09323475|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.35644739|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.44167793|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.17904049|  PASSED  
        diehard_opso|   0|   2097152|     100|0.96490269|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.84616975|  PASSED  
         diehard_dna|   0|   2097152|     100|0.71856156|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.99223921|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.93953588|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.63315096|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.92414291|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.63090568|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.53074995|  PASSED  
        diehard_sums|   0|       100|     100|0.48598469|  PASSED  
        diehard_runs|   0|    100000|     100|0.29165108|  PASSED  
        diehard_runs|   0|    100000|     100|0.82885099|  PASSED  
       diehard_craps|   0|    200000|     100|0.23394843|  PASSED  
       diehard_craps|   0|    200000|     100|0.75664166|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.86423318|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.62743195|  PASSED  
         sts_monobit|   1|    100000|     100|0.26883230|  PASSED  
            sts_runs|   2|    100000|     100|0.02870800|  PASSED  
          sts_serial|   1|    100000|     100|0.40820037|  PASSED  
          sts_serial|   2|    100000|     100|0.42184724|  PASSED  
          sts_serial|   3|    100000|     100|0.83635503|  PASSED  
          sts_serial|   3|    100000|     100|0.93478605|  PASSED  
          sts_serial|   4|    100000|     100|0.99812257|   WEAK   
          sts_serial|   4|    100000|     100|0.84963476|  PASSED  
          sts_serial|   5|    100000|     100|0.24921840|  PASSED  
          sts_serial|   5|    100000|     100|0.38050627|  PASSED  
          sts_serial|   6|    100000|     100|0.82938528|  PASSED  
          sts_serial|   6|    100000|     100|0.43674613|  PASSED  
          sts_serial|   7|    100000|     100|0.89754060|  PASSED  
          sts_serial|   7|    100000|     100|0.68742763|  PASSED  
