Seed: 1424186758
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  4.50e+05  |2978499125|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.37790180|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.69223975|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.49406592|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.61863290|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.61984040|  PASSED  
        diehard_opso|   0|   2097152|     100|0.01519904|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.60439843|  PASSED  
         diehard_dna|   0|   2097152|     100|0.35949423|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.52447513|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.42302642|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.17333962|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.21123957|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.80881418|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.06790456|  PASSED  
        diehard_sums|   0|       100|     100|0.16342420|  PASSED  
        diehard_runs|   0|    100000|     100|0.01871289|  PASSED  
        diehard_runs|   0|    100000|     100|0.14398925|  PASSED  
       diehard_craps|   0|    200000|     100|0.99866899|   WEAK   
       diehard_craps|   0|    200000|     100|0.43368485|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.01522049|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.98001475|  PASSED  
         sts_monobit|   1|    100000|     100|0.00250142|   WEAK   
            sts_runs|   2|    100000|     100|0.65953479|  PASSED  
          sts_serial|   1|    100000|     100|0.98319956|  PASSED  
          sts_serial|   2|    100000|     100|0.03573651|  PASSED  
          sts_serial|   3|    100000|     100|0.96611140|  PASSED  
          sts_serial|   3|    100000|     100|0.89468824|  PASSED  
          sts_serial|   4|    100000|     100|0.59917697|  PASSED  
          sts_serial|   4|    100000|     100|0.41186707|  PASSED  
          sts_serial|   5|    100000|     100|0.57988661|  PASSED  
          sts_serial|   5|    100000|     100|0.44102227|  PASSED  
          sts_serial|   6|    100000|     100|0.58857897|  PASSED  
          sts_serial|   6|    100000|     100|0.98597369|  PASSED  
          sts_serial|   7|    100000|     100|0.80404435|  PASSED  
          sts_serial|   7|    100000|     100|0.36275818|  PASSED  
          sts_serial|   8|    100000|     100|0.76842056|  PASSED  
          sts_serial|   8|    100000|     100|0.69335836|  PASSED  
          sts_serial|   9|    100000|     100|0.89670300|  PASSED  
          sts_serial|   9|    100000|     100|0.57283655|  PASSED  
          sts_serial|  10|    100000|     100|0.76595567|  PASSED  
          sts_serial|  10|    100000|     100|0.78064592|  PASSED  
          sts_serial|  11|    100000|     100|0.66053209|  PASSED  
