Seed: 1424200369
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  5.63e+05  |  91816286|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.94898095|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.19845046|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.88541877|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.40550177|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.87522645|  PASSED  
        diehard_opso|   0|   2097152|     100|0.27698591|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.95198141|  PASSED  
         diehard_dna|   0|   2097152|     100|0.50888801|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.68769692|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.52652715|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.07270933|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.33085973|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.20293230|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.85787501|  PASSED  
        diehard_sums|   0|       100|     100|0.31045588|  PASSED  
        diehard_runs|   0|    100000|     100|0.90236999|  PASSED  
        diehard_runs|   0|    100000|     100|0.58125615|  PASSED  
       diehard_craps|   0|    200000|     100|0.65126917|  PASSED  
       diehard_craps|   0|    200000|     100|0.58917192|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.95502344|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.73999250|  PASSED  
         sts_monobit|   1|    100000|     100|0.62390917|  PASSED  
            sts_runs|   2|    100000|     100|0.38737102|  PASSED  
          sts_serial|   1|    100000|     100|0.95968376|  PASSED  
          sts_serial|   2|    100000|     100|0.72729616|  PASSED  
          sts_serial|   3|    100000|     100|0.54762572|  PASSED  
          sts_serial|   3|    100000|     100|0.04126233|  PASSED  
          sts_serial|   4|    100000|     100|0.26376527|  PASSED  
          sts_serial|   4|    100000|     100|0.62833277|  PASSED  
          sts_serial|   5|    100000|     100|0.97866901|  PASSED  
          sts_serial|   5|    100000|     100|0.48099885|  PASSED  
          sts_serial|   6|    100000|     100|0.25179779|  PASSED  
          sts_serial|   6|    100000|     100|0.11380425|  PASSED  
          sts_serial|   7|    100000|     100|0.38886078|  PASSED  
          sts_serial|   7|    100000|     100|0.59843687|  PASSED  
          sts_serial|   8|    100000|     100|0.83147102|  PASSED  
          sts_serial|   8|    100000|     100|0.50191106|  PASSED  
          sts_serial|   9|    100000|     100|0.82930499|  PASSED  
          sts_serial|   9|    100000|     100|0.99892437|   WEAK   
          sts_serial|  10|    100000|     100|0.88682682|  PASSED  
          sts_serial|  10|    100000|     100|0.74611603|  PASSED  
          sts_serial|  11|    100000|     100|0.37854368|  PASSED  
