Seed: 1424274620
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  4.65e+05  |3029710398|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.15255619|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.39744951|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.88678908|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.68631910|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.00000000|  FAILED  
        diehard_opso|   0|   2097152|     100|0.00000000|  FAILED  
        diehard_oqso|   0|   2097152|     100|0.34918256|  PASSED  
         diehard_dna|   0|   2097152|     100|0.80698608|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.00000000|  FAILED  
diehard_count_1s_byt|   0|    256000|     100|0.73506488|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.00000000|  FAILED  
    diehard_2dsphere|   2|      8000|     100|0.00000000|  FAILED  
    diehard_3dsphere|   3|      4000|     100|0.00000004|  FAILED  
     diehard_squeeze|   0|    100000|     100|0.43539192|  PASSED  
        diehard_sums|   0|       100|     100|0.02521586|  PASSED  
        diehard_runs|   0|    100000|     100|0.93778437|  PASSED  
        diehard_runs|   0|    100000|     100|0.61048351|  PASSED  
       diehard_craps|   0|    200000|     100|0.82628587|  PASSED  
       diehard_craps|   0|    200000|     100|0.68633529|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.96200149|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.61725457|  PASSED  
         sts_monobit|   1|    100000|     100|0.94515397|  PASSED  
            sts_runs|   2|    100000|     100|0.36065739|  PASSED  
          sts_serial|   1|    100000|     100|0.83637351|  PASSED  
          sts_serial|   2|    100000|     100|0.77927337|  PASSED  
          sts_serial|   3|    100000|     100|0.30007679|  PASSED  
          sts_serial|   3|    100000|     100|0.46505404|  PASSED  
