Seed: 1427818309
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  3.61e+05  |2470490097|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.36932735|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.24603741|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.31853428|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.77099899|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.11331412|  PASSED  
        diehard_opso|   0|   2097152|     100|0.40437005|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.57821862|  PASSED  
         diehard_dna|   0|   2097152|     100|0.06153674|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.46308039|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.09142357|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.43595334|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.90730624|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.86967816|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.15717172|  PASSED  
        diehard_sums|   0|       100|     100|0.14344157|  PASSED  
        diehard_runs|   0|    100000|     100|0.66200144|  PASSED  
        diehard_runs|   0|    100000|     100|0.29241986|  PASSED  
       diehard_craps|   0|    200000|     100|0.41396688|  PASSED  
       diehard_craps|   0|    200000|     100|0.36525110|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.99008846|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.98672696|  PASSED  
         sts_monobit|   1|    100000|     100|0.81530628|  PASSED  
            sts_runs|   2|    100000|     100|0.34884578|  PASSED  
          sts_serial|   1|    100000|     100|0.47929373|  PASSED  
          sts_serial|   2|    100000|     100|0.88662945|  PASSED  
          sts_serial|   3|    100000|     100|0.29966985|  PASSED  
          sts_serial|   3|    100000|     100|0.97052458|  PASSED  
          sts_serial|   4|    100000|     100|0.03329977|  PASSED  
          sts_serial|   4|    100000|     100|0.26678804|  PASSED  
          sts_serial|   5|    100000|     100|0.93884793|  PASSED  
          sts_serial|   5|    100000|     100|0.76542056|  PASSED  
          sts_serial|   6|    100000|     100|0.99106144|  PASSED  
          sts_serial|   6|    100000|     100|0.97528935|  PASSED  
          sts_serial|   7|    100000|     100|0.99303933|  PASSED  
          sts_serial|   7|    100000|     100|0.98319907|  PASSED  
          sts_serial|   8|    100000|     100|0.64987053|  PASSED  
          sts_serial|   8|    100000|     100|0.61956729|  PASSED  
