Seed: 1427740187
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  3.32e+05  |3958777494|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.39891976|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.60266961|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.53155815|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.88831901|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.51790631|  PASSED  
        diehard_opso|   0|   2097152|     100|0.96221517|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.75233571|  PASSED  
         diehard_dna|   0|   2097152|     100|0.56757537|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.15047430|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.58665212|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.31706537|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.52874119|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.61098850|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.24358964|  PASSED  
        diehard_sums|   0|       100|     100|0.58709317|  PASSED  
        diehard_runs|   0|    100000|     100|0.02202327|  PASSED  
        diehard_runs|   0|    100000|     100|0.33095740|  PASSED  
       diehard_craps|   0|    200000|     100|0.49085381|  PASSED  
       diehard_craps|   0|    200000|     100|0.29053388|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.99641579|   WEAK   
 marsaglia_tsang_gcd|   0|  10000000|     100|0.67979655|  PASSED  
         sts_monobit|   1|    100000|     100|0.81377042|  PASSED  
            sts_runs|   2|    100000|     100|0.99727172|   WEAK   
          sts_serial|   1|    100000|     100|0.03500656|  PASSED  
          sts_serial|   2|    100000|     100|0.21889639|  PASSED  
          sts_serial|   3|    100000|     100|0.63554687|  PASSED  
          sts_serial|   3|    100000|     100|0.37596693|  PASSED  
          sts_serial|   4|    100000|     100|0.38702413|  PASSED  
          sts_serial|   4|    100000|     100|0.59399683|  PASSED  
          sts_serial|   5|    100000|     100|0.58638285|  PASSED  
          sts_serial|   5|    100000|     100|0.95468725|  PASSED  
          sts_serial|   6|    100000|     100|0.65902309|  PASSED  
          sts_serial|   6|    100000|     100|0.92989553|  PASSED  
          sts_serial|   7|    100000|     100|0.61784477|  PASSED  
          sts_serial|   7|    100000|     100|0.42863269|  PASSED  
          sts_serial|   8|    100000|     100|0.03809441|  PASSED  
          sts_serial|   8|    100000|     100|0.05658105|  PASSED  
          sts_serial|   9|    100000|     100|0.00188329|   WEAK   
          sts_serial|   9|    100000|     100|0.04226087|  PASSED  
          sts_serial|  10|    100000|     100|0.18561607|  PASSED  
          sts_serial|  10|    100000|     100|0.53222079|  PASSED  
          sts_serial|  11|    100000|     100|0.08962433|  PASSED  
          sts_serial|  11|    100000|     100|0.14589209|  PASSED  
          sts_serial|  12|    100000|     100|0.04603851|  PASSED  
          sts_serial|  12|    100000|     100|0.68716463|  PASSED  
          sts_serial|  13|    100000|     100|0.06692771|  PASSED  
          sts_serial|  13|    100000|     100|0.51750467|  PASSED  
          sts_serial|  14|    100000|     100|0.04571832|  PASSED  
          sts_serial|  14|    100000|     100|0.46666444|  PASSED  
          sts_serial|  15|    100000|     100|0.35256741|  PASSED  
          sts_serial|  15|    100000|     100|0.13598116|  PASSED  
          sts_serial|  16|    100000|     100|0.94746523|  PASSED  
          sts_serial|  16|    100000|     100|0.76559746|  PASSED  
