Seed: 1427830375
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  4.49e+05  |3597230145|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.43903619|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.48828677|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.54140749|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.99806255|   WEAK   
   diehard_bitstream|   0|   2097152|     100|0.88399921|  PASSED  
        diehard_opso|   0|   2097152|     100|0.97887873|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.30617646|  PASSED  
         diehard_dna|   0|   2097152|     100|0.25693111|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.84742613|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.54250087|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.99336067|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.11060530|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.27831222|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.96696874|  PASSED  
        diehard_sums|   0|       100|     100|0.13051812|  PASSED  
        diehard_runs|   0|    100000|     100|0.68285882|  PASSED  
        diehard_runs|   0|    100000|     100|0.65903483|  PASSED  
       diehard_craps|   0|    200000|     100|0.55934049|  PASSED  
       diehard_craps|   0|    200000|     100|0.18812372|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.48114736|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.48853978|  PASSED  
         sts_monobit|   1|    100000|     100|0.96986360|  PASSED  
            sts_runs|   2|    100000|     100|0.91110244|  PASSED  
          sts_serial|   1|    100000|     100|0.49210320|  PASSED  
          sts_serial|   2|    100000|     100|0.42654604|  PASSED  
          sts_serial|   3|    100000|     100|0.26182198|  PASSED  
          sts_serial|   3|    100000|     100|0.83714266|  PASSED  
          sts_serial|   4|    100000|     100|0.88296759|  PASSED  
          sts_serial|   4|    100000|     100|0.24798180|  PASSED  
          sts_serial|   5|    100000|     100|0.54777596|  PASSED  
          sts_serial|   5|    100000|     100|0.79454380|  PASSED  
          sts_serial|   6|    100000|     100|0.92530445|  PASSED  
