Seed: 1427579882
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  4.38e+05  |2334666099|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.65550568|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.42885392|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.44018194|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.28422277|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.80957611|  PASSED  
        diehard_opso|   0|   2097152|     100|0.99410663|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.92541963|  PASSED  
         diehard_dna|   0|   2097152|     100|0.73410439|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.66376445|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.13728655|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.98270555|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.64652893|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.75868170|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.81211721|  PASSED  
        diehard_sums|   0|       100|     100|0.01333558|  PASSED  
        diehard_runs|   0|    100000|     100|0.37973807|  PASSED  
        diehard_runs|   0|    100000|     100|0.98019350|  PASSED  
       diehard_craps|   0|    200000|     100|0.66263893|  PASSED  
       diehard_craps|   0|    200000|     100|0.62896935|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.69113732|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.83630851|  PASSED  
         sts_monobit|   1|    100000|     100|0.47900267|  PASSED  
            sts_runs|   2|    100000|     100|0.12340953|  PASSED  
          sts_serial|   1|    100000|     100|0.24250016|  PASSED  
          sts_serial|   2|    100000|     100|0.74765018|  PASSED  
          sts_serial|   3|    100000|     100|0.79738852|  PASSED  
          sts_serial|   3|    100000|     100|0.97727169|  PASSED  
          sts_serial|   4|    100000|     100|0.48430147|  PASSED  
          sts_serial|   4|    100000|     100|0.81747013|  PASSED  
          sts_serial|   5|    100000|     100|0.89241264|  PASSED  
          sts_serial|   5|    100000|     100|0.99186688|  PASSED  
          sts_serial|   6|    100000|     100|0.43678879|  PASSED  
          sts_serial|   6|    100000|     100|0.57211076|  PASSED  
          sts_serial|   7|    100000|     100|0.72114573|  PASSED  
          sts_serial|   7|    100000|     100|0.87528950|  PASSED  
          sts_serial|   8|    100000|     100|0.54774056|  PASSED  
          sts_serial|   8|    100000|     100|0.86173272|  PASSED  
          sts_serial|   9|    100000|     100|0.85818278|  PASSED  
          sts_serial|   9|    100000|     100|0.55147792|  PASSED  
          sts_serial|  10|    100000|     100|0.95366863|  PASSED  
          sts_serial|  10|    100000|     100|0.96003922|  PASSED  
          sts_serial|  11|    100000|     100|0.42451752|  PASSED  
          sts_serial|  11|    100000|     100|0.00986258|  PASSED  
          sts_serial|  12|    100000|     100|0.98911082|  PASSED  
          sts_serial|  12|    100000|     100|0.56881456|  PASSED  
          sts_serial|  13|    100000|     100|0.95945127|  PASSED  
          sts_serial|  13|    100000|     100|0.85436701|  PASSED  
          sts_serial|  14|    100000|     100|0.93466197|  PASSED  
          sts_serial|  14|    100000|     100|0.72963981|  PASSED  
          sts_serial|  15|    100000|     100|0.81273165|  PASSED  
          sts_serial|  15|    100000|     100|0.28649913|  PASSED  
          sts_serial|  16|    100000|     100|0.82228911|  PASSED  
          sts_serial|  16|    100000|     100|0.36746759|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.74417917|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.41430579|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.99949153|   WEAK   
         rgb_bitdist|   4|    100000|     100|0.16983490|  PASSED  
