Seed: 1424045365
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  8.30e+05  | 128339386|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.81328219|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.00000275|   WEAK   
  diehard_rank_32x32|   0|     40000|     100|0.17195256|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.69594490|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.38495884|  PASSED  
        diehard_opso|   0|   2097152|     100|0.31620546|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.00000000|  FAILED  
         diehard_dna|   0|   2097152|     100|0.00001861|   WEAK   
diehard_count_1s_str|   0|    256000|     100|0.45634062|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.98761909|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.30484250|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.58935680|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.14158063|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.26676239|  PASSED  
        diehard_sums|   0|       100|     100|0.06361180|  PASSED  
        diehard_runs|   0|    100000|     100|0.40051311|  PASSED  
        diehard_runs|   0|    100000|     100|0.33001531|  PASSED  
       diehard_craps|   0|    200000|     100|0.01009749|  PASSED  
       diehard_craps|   0|    200000|     100|0.67011702|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.61826530|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.93599966|  PASSED  
         sts_monobit|   1|    100000|     100|0.87496338|  PASSED  
            sts_runs|   2|    100000|     100|0.21256424|  PASSED  
          sts_serial|   1|    100000|     100|0.99911401|   WEAK   
          sts_serial|   2|    100000|     100|0.98402441|  PASSED  
          sts_serial|   3|    100000|     100|0.45506333|  PASSED  
          sts_serial|   3|    100000|     100|0.52862274|  PASSED  
          sts_serial|   4|    100000|     100|0.94631121|  PASSED  
