Seed: 1426965010
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  4.50e+05  |  69804588|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.33528883|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.87647284|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.76116974|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.77551644|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.43739577|  PASSED  
        diehard_opso|   0|   2097152|     100|0.77919257|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.37598108|  PASSED  
         diehard_dna|   0|   2097152|     100|0.91965799|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.93719850|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.56813707|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.20513585|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.61899951|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.31425465|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.68803172|  PASSED  
        diehard_sums|   0|       100|     100|0.00847041|  PASSED  
        diehard_runs|   0|    100000|     100|0.16075934|  PASSED  
        diehard_runs|   0|    100000|     100|0.99010383|  PASSED  
       diehard_craps|   0|    200000|     100|0.48376491|  PASSED  
       diehard_craps|   0|    200000|     100|0.44027457|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.24809953|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.58439613|  PASSED  
         sts_monobit|   1|    100000|     100|0.12675799|  PASSED  
            sts_runs|   2|    100000|     100|0.73225867|  PASSED  
          sts_serial|   1|    100000|     100|0.68577030|  PASSED  
          sts_serial|   2|    100000|     100|0.54312586|  PASSED  
          sts_serial|   3|    100000|     100|0.40974826|  PASSED  
          sts_serial|   3|    100000|     100|0.45909299|  PASSED  
          sts_serial|   4|    100000|     100|0.41964834|  PASSED  
          sts_serial|   4|    100000|     100|0.76882205|  PASSED  
          sts_serial|   5|    100000|     100|0.61731422|  PASSED  
          sts_serial|   5|    100000|     100|0.77101004|  PASSED  
          sts_serial|   6|    100000|     100|0.29292414|  PASSED  
          sts_serial|   6|    100000|     100|0.22095027|  PASSED  
          sts_serial|   7|    100000|     100|0.98749168|  PASSED  
          sts_serial|   7|    100000|     100|0.71657333|  PASSED  
          sts_serial|   8|    100000|     100|0.34860290|  PASSED  
