Seed: 1427043713
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  3.12e+05  |2356587235|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.86914871|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.08440585|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.59379299|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.16153399|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.89541448|  PASSED  
        diehard_opso|   0|   2097152|     100|0.00501835|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.48944804|  PASSED  
         diehard_dna|   0|   2097152|     100|0.43293719|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.60212936|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.09163092|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.86481685|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.89391015|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.98773660|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.25108292|  PASSED  
        diehard_sums|   0|       100|     100|0.18742840|  PASSED  
        diehard_runs|   0|    100000|     100|0.77466141|  PASSED  
        diehard_runs|   0|    100000|     100|0.27202289|  PASSED  
       diehard_craps|   0|    200000|     100|0.71032151|  PASSED  
       diehard_craps|   0|    200000|     100|0.96745589|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.30542617|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.94828501|  PASSED  
         sts_monobit|   1|    100000|     100|0.99871095|   WEAK   
            sts_runs|   2|    100000|     100|0.98377560|  PASSED  
          sts_serial|   1|    100000|     100|0.74400035|  PASSED  
          sts_serial|   2|    100000|     100|0.48194691|  PASSED  
          sts_serial|   3|    100000|     100|0.51470215|  PASSED  
          sts_serial|   3|    100000|     100|0.91581156|  PASSED  
          sts_serial|   4|    100000|     100|0.45113886|  PASSED  
          sts_serial|   4|    100000|     100|0.34935181|  PASSED  
          sts_serial|   5|    100000|     100|0.87886044|  PASSED  
          sts_serial|   5|    100000|     100|0.89176240|  PASSED  
          sts_serial|   6|    100000|     100|0.10237906|  PASSED  
          sts_serial|   6|    100000|     100|0.53479336|  PASSED  
          sts_serial|   7|    100000|     100|0.08699373|  PASSED  
          sts_serial|   7|    100000|     100|0.05551836|  PASSED  
          sts_serial|   8|    100000|     100|0.00498276|   WEAK   
          sts_serial|   8|    100000|     100|0.23952094|  PASSED  
          sts_serial|   9|    100000|     100|0.01866744|  PASSED  
          sts_serial|   9|    100000|     100|0.48153089|  PASSED  
          sts_serial|  10|    100000|     100|0.28274261|  PASSED  
          sts_serial|  10|    100000|     100|0.03736694|  PASSED  
          sts_serial|  11|    100000|     100|0.68996040|  PASSED  
          sts_serial|  11|    100000|     100|0.96906553|  PASSED  
          sts_serial|  12|    100000|     100|0.08985272|  PASSED  
          sts_serial|  12|    100000|     100|0.55779656|  PASSED  
          sts_serial|  13|    100000|     100|0.51145767|  PASSED  
          sts_serial|  13|    100000|     100|0.99599534|   WEAK   
          sts_serial|  14|    100000|     100|0.66073386|  PASSED  
          sts_serial|  14|    100000|     100|0.94646366|  PASSED  
          sts_serial|  15|    100000|     100|0.41487152|  PASSED  
          sts_serial|  15|    100000|     100|0.64013357|  PASSED  
          sts_serial|  16|    100000|     100|0.75424855|  PASSED  
          sts_serial|  16|    100000|     100|0.32625493|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.38583783|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.27798748|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.19396403|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.99735496|   WEAK   
         rgb_bitdist|   5|    100000|     100|0.53894209|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.55658322|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.95188238|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.90376695|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.89151706|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.88440422|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.99181141|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.53580265|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.11004784|  PASSED  
