Seed: 1427124720
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  4.11e+05  |2037328141|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.62039314|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.53663028|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.00651596|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.53775468|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.60124489|  PASSED  
        diehard_opso|   0|   2097152|     100|0.30875388|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.59080907|  PASSED  
         diehard_dna|   0|   2097152|     100|0.69076284|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.55918153|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.97198117|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.20591285|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.27939473|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.47156287|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.80763602|  PASSED  
        diehard_sums|   0|       100|     100|0.02039762|  PASSED  
        diehard_runs|   0|    100000|     100|0.81466501|  PASSED  
        diehard_runs|   0|    100000|     100|0.11079567|  PASSED  
       diehard_craps|   0|    200000|     100|0.66525469|  PASSED  
       diehard_craps|   0|    200000|     100|0.55274751|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.83554373|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.93625386|  PASSED  
         sts_monobit|   1|    100000|     100|0.55127151|  PASSED  
            sts_runs|   2|    100000|     100|0.07729288|  PASSED  
          sts_serial|   1|    100000|     100|0.47525181|  PASSED  
          sts_serial|   2|    100000|     100|0.08932282|  PASSED  
          sts_serial|   3|    100000|     100|0.05659014|  PASSED  
          sts_serial|   3|    100000|     100|0.72045084|  PASSED  
          sts_serial|   4|    100000|     100|0.93975799|  PASSED  
          sts_serial|   4|    100000|     100|0.74000170|  PASSED  
          sts_serial|   5|    100000|     100|0.75148977|  PASSED  
          sts_serial|   5|    100000|     100|0.39903520|  PASSED  
          sts_serial|   6|    100000|     100|0.08851158|  PASSED  
          sts_serial|   6|    100000|     100|0.08232381|  PASSED  
          sts_serial|   7|    100000|     100|0.42924453|  PASSED  
          sts_serial|   7|    100000|     100|0.71010420|  PASSED  
          sts_serial|   8|    100000|     100|0.74810383|  PASSED  
          sts_serial|   8|    100000|     100|0.67212294|  PASSED  
          sts_serial|   9|    100000|     100|0.85201320|  PASSED  
          sts_serial|   9|    100000|     100|0.71304630|  PASSED  
          sts_serial|  10|    100000|     100|0.40018944|  PASSED  
          sts_serial|  10|    100000|     100|0.64464607|  PASSED  
          sts_serial|  11|    100000|     100|0.91938766|  PASSED  
          sts_serial|  11|    100000|     100|0.45954246|  PASSED  
          sts_serial|  12|    100000|     100|0.82511322|  PASSED  
          sts_serial|  12|    100000|     100|0.66225671|  PASSED  
          sts_serial|  13|    100000|     100|0.13698857|  PASSED  
          sts_serial|  13|    100000|     100|0.38392445|  PASSED  
          sts_serial|  14|    100000|     100|0.96842678|  PASSED  
          sts_serial|  14|    100000|     100|0.47596693|  PASSED  
          sts_serial|  15|    100000|     100|0.61171228|  PASSED  
