Seed: 1426924794
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  1.00e+06  |1799011690|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.84284117|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.83924070|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.91531493|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.90380894|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.04777046|  PASSED  
        diehard_opso|   0|   2097152|     100|0.94180118|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.64173980|  PASSED  
         diehard_dna|   0|   2097152|     100|0.01924592|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.70963792|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.74090111|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.97938218|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.27229582|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.61737385|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.01428188|  PASSED  
        diehard_sums|   0|       100|     100|0.34752397|  PASSED  
        diehard_runs|   0|    100000|     100|0.92209539|  PASSED  
        diehard_runs|   0|    100000|     100|0.28131435|  PASSED  
       diehard_craps|   0|    200000|     100|0.81584191|  PASSED  
       diehard_craps|   0|    200000|     100|0.77034599|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.72161170|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.96599398|  PASSED  
         sts_monobit|   1|    100000|     100|0.75759656|  PASSED  
            sts_runs|   2|    100000|     100|0.19655152|  PASSED  
          sts_serial|   1|    100000|     100|0.83885841|  PASSED  
          sts_serial|   2|    100000|     100|0.51372681|  PASSED  
          sts_serial|   3|    100000|     100|0.10843947|  PASSED  
          sts_serial|   3|    100000|     100|0.58982297|  PASSED  
          sts_serial|   4|    100000|     100|0.99987699|   WEAK   
          sts_serial|   4|    100000|     100|0.66240264|  PASSED  
          sts_serial|   5|    100000|     100|0.60158860|  PASSED  
          sts_serial|   5|    100000|     100|0.54567395|  PASSED  
          sts_serial|   6|    100000|     100|0.77694937|  PASSED  
          sts_serial|   6|    100000|     100|0.81730459|  PASSED  
          sts_serial|   7|    100000|     100|0.94261829|  PASSED  
          sts_serial|   7|    100000|     100|0.98885893|  PASSED  
          sts_serial|   8|    100000|     100|0.68326334|  PASSED  
          sts_serial|   8|    100000|     100|0.84429015|  PASSED  
          sts_serial|   9|    100000|     100|0.39200853|  PASSED  
          sts_serial|   9|    100000|     100|0.41810721|  PASSED  
          sts_serial|  10|    100000|     100|0.46368676|  PASSED  
          sts_serial|  10|    100000|     100|0.97124484|  PASSED  
          sts_serial|  11|    100000|     100|0.43052186|  PASSED  
          sts_serial|  11|    100000|     100|0.56791041|  PASSED  
          sts_serial|  12|    100000|     100|0.84084369|  PASSED  
          sts_serial|  12|    100000|     100|0.02698818|  PASSED  
          sts_serial|  13|    100000|     100|0.54301570|  PASSED  
          sts_serial|  13|    100000|     100|0.88906637|  PASSED  
          sts_serial|  14|    100000|     100|0.52888118|  PASSED  
          sts_serial|  14|    100000|     100|0.62703427|  PASSED  
          sts_serial|  15|    100000|     100|0.51311737|  PASSED  
          sts_serial|  15|    100000|     100|0.26382112|  PASSED  
          sts_serial|  16|    100000|     100|0.93500824|  PASSED  
          sts_serial|  16|    100000|     100|0.64819939|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.48135292|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.29659083|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.71791455|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.15478738|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.38571874|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.60187073|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.55469897|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.98425072|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.87017805|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.45572656|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.39417023|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.51170323|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.31501807|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.04866074|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.53963814|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.06569695|  PASSED  
    rgb_permutations|   2|    100000|     100|0.96786522|  PASSED  
    rgb_permutations|   3|    100000|     100|0.31940435|  PASSED  
    rgb_permutations|   4|    100000|     100|0.98189285|  PASSED  
    rgb_permutations|   5|    100000|     100|0.88865088|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.15782614|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.54911431|  PASSED  
      rgb_lagged_sum|   2|   1000000|     100|0.09567656|  PASSED  
      rgb_lagged_sum|   3|   1000000|     100|0.84084166|  PASSED  
