Seed: 1428164401
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  2.62e+05  |3608029119|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.95557861|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.18076194|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.51243944|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.18273922|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.71089307|  PASSED  
        diehard_opso|   0|   2097152|     100|0.99000339|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.94418497|  PASSED  
         diehard_dna|   0|   2097152|     100|0.97516227|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.62431098|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.36126778|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.72327165|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.29053735|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.45655983|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.82336595|  PASSED  
        diehard_sums|   0|       100|     100|0.19970360|  PASSED  
        diehard_runs|   0|    100000|     100|0.69314816|  PASSED  
        diehard_runs|   0|    100000|     100|0.86676638|  PASSED  
       diehard_craps|   0|    200000|     100|0.44924360|  PASSED  
       diehard_craps|   0|    200000|     100|0.20049304|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.64732879|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.98293415|  PASSED  
         sts_monobit|   1|    100000|     100|0.51439514|  PASSED  
            sts_runs|   2|    100000|     100|0.49412565|  PASSED  
          sts_serial|   1|    100000|     100|0.07392149|  PASSED  
          sts_serial|   2|    100000|     100|0.27086039|  PASSED  
          sts_serial|   3|    100000|     100|0.67678777|  PASSED  
          sts_serial|   3|    100000|     100|0.71353419|  PASSED  
          sts_serial|   4|    100000|     100|0.76285532|  PASSED  
          sts_serial|   4|    100000|     100|0.28973658|  PASSED  
          sts_serial|   5|    100000|     100|0.35856464|  PASSED  
          sts_serial|   5|    100000|     100|0.25325960|  PASSED  
          sts_serial|   6|    100000|     100|0.29657296|  PASSED  
          sts_serial|   6|    100000|     100|0.85411635|  PASSED  
          sts_serial|   7|    100000|     100|0.79605689|  PASSED  
          sts_serial|   7|    100000|     100|0.47290442|  PASSED  
          sts_serial|   8|    100000|     100|0.65117472|  PASSED  
          sts_serial|   8|    100000|     100|0.78105929|  PASSED  
          sts_serial|   9|    100000|     100|0.43079082|  PASSED  
          sts_serial|   9|    100000|     100|0.55923687|  PASSED  
          sts_serial|  10|    100000|     100|0.81679090|  PASSED  
          sts_serial|  10|    100000|     100|0.67808606|  PASSED  
          sts_serial|  11|    100000|     100|0.90830824|  PASSED  
          sts_serial|  11|    100000|     100|0.34674711|  PASSED  
          sts_serial|  12|    100000|     100|0.99451977|  PASSED  
          sts_serial|  12|    100000|     100|0.71983820|  PASSED  
          sts_serial|  13|    100000|     100|0.56862505|  PASSED  
          sts_serial|  13|    100000|     100|0.27192146|  PASSED  
          sts_serial|  14|    100000|     100|0.73377390|  PASSED  
          sts_serial|  14|    100000|     100|0.68816714|  PASSED  
          sts_serial|  15|    100000|     100|0.86855702|  PASSED  
          sts_serial|  15|    100000|     100|0.12760438|  PASSED  
          sts_serial|  16|    100000|     100|0.22059521|  PASSED  
          sts_serial|  16|    100000|     100|0.09323526|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.52771007|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.29413688|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.00418319|   WEAK   
         rgb_bitdist|   4|    100000|     100|0.66299466|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.85431729|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.89800843|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.78563321|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.74221969|  PASSED  
