Seed: 1428164405
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  2.93e+05  | 988194162|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.88594668|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.10239738|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.50817513|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.48370389|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.95901334|  PASSED  
        diehard_opso|   0|   2097152|     100|0.32022258|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.72627003|  PASSED  
         diehard_dna|   0|   2097152|     100|0.80825330|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.20563722|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.93512966|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.64976124|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.94490935|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.83858569|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.40887964|  PASSED  
        diehard_sums|   0|       100|     100|0.30829101|  PASSED  
        diehard_runs|   0|    100000|     100|0.46166014|  PASSED  
        diehard_runs|   0|    100000|     100|0.82138396|  PASSED  
       diehard_craps|   0|    200000|     100|0.67770542|  PASSED  
       diehard_craps|   0|    200000|     100|0.17853030|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.63683902|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.60062797|  PASSED  
         sts_monobit|   1|    100000|     100|0.78049148|  PASSED  
            sts_runs|   2|    100000|     100|0.75351795|  PASSED  
          sts_serial|   1|    100000|     100|0.07592011|  PASSED  
          sts_serial|   2|    100000|     100|0.89298302|  PASSED  
          sts_serial|   3|    100000|     100|0.69187421|  PASSED  
          sts_serial|   3|    100000|     100|0.07389469|  PASSED  
          sts_serial|   4|    100000|     100|0.32434845|  PASSED  
