Seed: 1425808217
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  7.14e+05  |3640917773|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.83941845|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.89668796|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.69394927|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.67911701|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.94388770|  PASSED  
        diehard_opso|   0|   2097152|     100|0.54994328|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.39639036|  PASSED  
         diehard_dna|   0|   2097152|     100|0.52153640|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.99431824|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.45971606|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.92238409|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.92772560|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.54535828|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.24284307|  PASSED  
        diehard_sums|   0|       100|     100|0.07940259|  PASSED  
        diehard_runs|   0|    100000|     100|0.07887484|  PASSED  
        diehard_runs|   0|    100000|     100|0.89813909|  PASSED  
       diehard_craps|   0|    200000|     100|0.07548670|  PASSED  
       diehard_craps|   0|    200000|     100|0.18939894|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.99856304|   WEAK   
 marsaglia_tsang_gcd|   0|  10000000|     100|0.82541988|  PASSED  
         sts_monobit|   1|    100000|     100|0.94620187|  PASSED  
            sts_runs|   2|    100000|     100|0.97052884|  PASSED  
          sts_serial|   1|    100000|     100|0.47226680|  PASSED  
          sts_serial|   2|    100000|     100|0.08321216|  PASSED  
          sts_serial|   3|    100000|     100|0.38765547|  PASSED  
          sts_serial|   3|    100000|     100|0.01551543|  PASSED  
          sts_serial|   4|    100000|     100|0.93826321|  PASSED  
