Seed: 1427423672
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  2.52e+05  |4198816882|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.43815612|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.03128046|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.55758076|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.76912782|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.86431504|  PASSED  
        diehard_opso|   0|   2097152|     100|0.89989876|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.55477207|  PASSED  
         diehard_dna|   0|   2097152|     100|0.42861922|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.51110321|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.90617322|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.10116773|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.56913783|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.60166454|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.77490120|  PASSED  
        diehard_sums|   0|       100|     100|0.00397899|   WEAK   
        diehard_runs|   0|    100000|     100|0.53256065|  PASSED  
        diehard_runs|   0|    100000|     100|0.96936601|  PASSED  
       diehard_craps|   0|    200000|     100|0.04918915|  PASSED  
       diehard_craps|   0|    200000|     100|0.54835952|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.67189617|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.90485086|  PASSED  
         sts_monobit|   1|    100000|     100|0.99028061|  PASSED  
            sts_runs|   2|    100000|     100|0.92269898|  PASSED  
          sts_serial|   1|    100000|     100|0.67601346|  PASSED  
          sts_serial|   2|    100000|     100|0.32882462|  PASSED  
          sts_serial|   3|    100000|     100|0.50933032|  PASSED  
          sts_serial|   3|    100000|     100|0.48938055|  PASSED  
          sts_serial|   4|    100000|     100|0.27685319|  PASSED  
          sts_serial|   4|    100000|     100|0.90843735|  PASSED  
          sts_serial|   5|    100000|     100|0.02213742|  PASSED  
          sts_serial|   5|    100000|     100|0.30164515|  PASSED  
          sts_serial|   6|    100000|     100|0.05966710|  PASSED  
