Seed: 1424106489
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  5.55e+05  |1795115853|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.54103359|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.61163696|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.51591835|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.36799329|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.92485693|  PASSED  
        diehard_opso|   0|   2097152|     100|0.72414474|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.98383036|  PASSED  
         diehard_dna|   0|   2097152|     100|0.57331699|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.65100494|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.78014253|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.82186232|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.62957838|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.10634276|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.87277072|  PASSED  
        diehard_sums|   0|       100|     100|0.45212543|  PASSED  
        diehard_runs|   0|    100000|     100|0.24105610|  PASSED  
        diehard_runs|   0|    100000|     100|0.33359551|  PASSED  
       diehard_craps|   0|    200000|     100|0.92127940|  PASSED  
       diehard_craps|   0|    200000|     100|0.59548890|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.46796415|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.55696693|  PASSED  
         sts_monobit|   1|    100000|     100|0.97947446|  PASSED  
            sts_runs|   2|    100000|     100|0.95025517|  PASSED  
          sts_serial|   1|    100000|     100|0.01383274|  PASSED  
          sts_serial|   2|    100000|     100|0.36855593|  PASSED  
          sts_serial|   3|    100000|     100|0.79931050|  PASSED  
          sts_serial|   3|    100000|     100|0.99555983|   WEAK   
          sts_serial|   4|    100000|     100|0.97999354|  PASSED  
          sts_serial|   4|    100000|     100|0.98212385|  PASSED  
          sts_serial|   5|    100000|     100|0.44394736|  PASSED  
          sts_serial|   5|    100000|     100|0.68541754|  PASSED  
          sts_serial|   6|    100000|     100|0.77450918|  PASSED  
          sts_serial|   6|    100000|     100|0.66732700|  PASSED  
          sts_serial|   7|    100000|     100|0.74819212|  PASSED  
          sts_serial|   7|    100000|     100|0.91709097|  PASSED  
          sts_serial|   8|    100000|     100|0.18508714|  PASSED  
          sts_serial|   8|    100000|     100|0.32340363|  PASSED  
          sts_serial|   9|    100000|     100|0.58769872|  PASSED  
          sts_serial|   9|    100000|     100|0.97624469|  PASSED  
          sts_serial|  10|    100000|     100|0.91228951|  PASSED  
          sts_serial|  10|    100000|     100|0.64820880|  PASSED  
          sts_serial|  11|    100000|     100|0.93341384|  PASSED  
          sts_serial|  11|    100000|     100|0.79972283|  PASSED  
          sts_serial|  12|    100000|     100|0.99679588|   WEAK   
          sts_serial|  12|    100000|     100|0.35609601|  PASSED  
          sts_serial|  13|    100000|     100|0.93396337|  PASSED  
          sts_serial|  13|    100000|     100|0.39150161|  PASSED  
          sts_serial|  14|    100000|     100|0.04636046|  PASSED  
          sts_serial|  14|    100000|     100|0.28826546|  PASSED  
