Seed: 1424103126
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  5.70e+05  |3538756719|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.80135435|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.52721836|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.17079061|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.02574850|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.95631571|  PASSED  
        diehard_opso|   0|   2097152|     100|0.17132100|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.84825094|  PASSED  
         diehard_dna|   0|   2097152|     100|0.19420079|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.90482034|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.46389823|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.51708576|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.61218189|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.63474214|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.76686494|  PASSED  
        diehard_sums|   0|       100|     100|0.14731271|  PASSED  
        diehard_runs|   0|    100000|     100|0.14508893|  PASSED  
        diehard_runs|   0|    100000|     100|0.03242760|  PASSED  
       diehard_craps|   0|    200000|     100|0.06485198|  PASSED  
       diehard_craps|   0|    200000|     100|0.37206051|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.58408736|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.54618827|  PASSED  
         sts_monobit|   1|    100000|     100|0.67385070|  PASSED  
            sts_runs|   2|    100000|     100|0.11329042|  PASSED  
          sts_serial|   1|    100000|     100|0.99254466|  PASSED  
          sts_serial|   2|    100000|     100|0.52376535|  PASSED  
          sts_serial|   3|    100000|     100|0.60177783|  PASSED  
          sts_serial|   3|    100000|     100|0.32357785|  PASSED  
          sts_serial|   4|    100000|     100|0.21561108|  PASSED  
          sts_serial|   4|    100000|     100|0.70142397|  PASSED  
          sts_serial|   5|    100000|     100|0.82582183|  PASSED  
          sts_serial|   5|    100000|     100|0.76635035|  PASSED  
          sts_serial|   6|    100000|     100|0.76131658|  PASSED  
          sts_serial|   6|    100000|     100|0.80136726|  PASSED  
          sts_serial|   7|    100000|     100|0.46977587|  PASSED  
          sts_serial|   7|    100000|     100|0.87599482|  PASSED  
          sts_serial|   8|    100000|     100|0.46114645|  PASSED  
          sts_serial|   8|    100000|     100|0.17369987|  PASSED  
          sts_serial|   9|    100000|     100|0.70024717|  PASSED  
          sts_serial|   9|    100000|     100|0.99596776|   WEAK   
          sts_serial|  10|    100000|     100|0.64565508|  PASSED  
          sts_serial|  10|    100000|     100|0.73296576|  PASSED  
          sts_serial|  11|    100000|     100|0.39275409|  PASSED  
          sts_serial|  11|    100000|     100|0.99244504|  PASSED  
          sts_serial|  12|    100000|     100|0.61106040|  PASSED  
          sts_serial|  12|    100000|     100|0.45885592|  PASSED  
          sts_serial|  13|    100000|     100|0.73018363|  PASSED  
